EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
395,Etc/GMT-1,False,,117,3ac1159d9f21ce635443a15d6f0192b2,02e6f6ae,db680672aec1f95bf0fd3487fa3e8fc0014135a12adc3ae4419e62e404eed530a1008a0c05ec931a130ab575887d0334b17c2a373afe308a784750264610333f,000552B6,117
396,Etc/GMT-10,False,,118,a08812265558e7a13314716a913da90a,427afe75,7bed44140a0e44fcea19195e546350a3bb7c1a7d904bc3aeed7b722c1792067c7209587e9bb74af775a8ed94a67050b0fb84895ecb4e8098c3dac2a753d4272f,0005532B,118
397,Etc/GMT-11,False,,118,ca5ce8340a8e22f4dae42ce318a0a649,09caaf3f,0fb6eb0a0e3f1e9b8a7ca019e95009c026e105b369b6b62fe711f981f2a51d085395abf8dbe7fae1451f17272c229ec917772d39053735228b7f2338fbf0e682,000553A1,118
398,Etc/GMT-12,False,,118,7474159a30cc4fa179d4ea9f6fe0786d,623d54d4,2974240b9abbe5f5d931d28417526d6062fd54f288035907395c609d29dc338b30a9e2fe97f90d7cc1194cabeb1024a25dd55113d5fc825ea21ce3171963c0ed,00055417,118
399,Etc/GMT-13,False,,118,a324fc1550019089de6beb2505b16c75,4ed124f5,71037d3b875fdf664c40ab41626e8b73c8888d62a8a8e83b75f1a0967ed3759a2ec9636a9e0f3f9fbbc4d744fccd49874368e17761458a9de834a08d7e0b191a,0005548D,118
400,Etc/GMT-14,False,,118,8d7aafce2b73c4f23f6a742f3e7b8e57,7972ffca,636fa5df1f955a8ad2a4797ff37ba02e9251c8d7f00d8211af5f2738eecb11dde01f2e04d1d01719d6f5f8975114739cec7ceac07244a57b35530486a3082fc3,00055503,118
401,Etc/GMT-2,False,,117,19422df8717b85634df5b6cd43d52291,5f6ad6cd,1bc6293876f2bfc90e4b7358467235ffea07976d78332adf530235ab7c6530ff7c848ecd8ef7dc9de69f7bf8f1cbf070459300d71c50aef2d1ab0ccac764024a,00055579,117
402,Etc/GMT-3,False,,117,1e719b9b512f906cd4fba6c440e48290,edce4e90,1187494aebb92070a42b9d6989ba25c114e86f46179dd0f9d02ffe90f325f93148a494690bea597997a10e20fa98f1bc7da854311e1e9f975e07ee1463945d13,000555EE,117
403,Etc/GMT-4,False,,117,229d70912ecce1494a2ea46216e1ae28,e472960b,e230889e759c88588f194488324f409330667ebd398a5c73e5e71b3d3f2cd925f875b9ec53597cc82dfdc9d9dc6f9c8ef16aba039c9c54bcc06ed6fe55bdb8d4,00055663,117
404,Etc/GMT-5,False,,117,d61fd70479fcb790c1d8fc367a721fe1,07c68093,c46ef0ccffd84ee6bb376a818d8681362cb37939fe1deb68c27143000ed5bea1ae18294a08265a7a3467db25065eff5c49f0078d408dd6b06de412d5a65733b4,000556D8,117
405,Etc/GMT-6,False,,117,20451c577ed8e9ed6fbddf5ef2b521a7,5a4aa0f0,74f38783ceaaa8af2eaec08cab0a56f4ec9a15a6d4e11f7533b8f5baa7074b7e0e34f9f432108597b7de76e0a6ecd270d734b7d720478d9b15f9ebd35baff248,0005574D,117
406,Etc/GMT-7,False,,117,ea1c82dea2e45abb717e1748aca7725e,e8ee38ad,5c8935d9c9aebf80b474cfacd8c53b893232f6c7f1afabaaddc0e6220338d4c69ad9cebb2aeb179651f821b91756d0d21e00ed71168af2c5007c2de636f5b626,000557C2,117
