EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
72,America/Argentina/Ushuaia,False,,708,07844fc101071f657d084ecb7d161aa0,1eb67d8b,dc9fce9c5aeaaed5d747bc516152556d532dda77271202ef5f7d15cc81c04e3d47a0c3049f4448942c31a9bac97e8fc284ae07442da1563deed1ee2a619a6305,0000CA10,708
73,America/Aruba,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
74,America/Asuncion,False,,1085,7d1a5dba9281f579b159eac64d4693b4,45601ed9,07d00f7b569ea067c22fecad6166ff41f0ddb28f450af6ee2f301166427ac88950d93858a1d27224e9bc79eb41cbc40cc1bf883d7a4d1b27d3c4f4247df082dd,0000CCD4,1085
75,America/Atikokan,False,,149,595e67b4c97fda031a90e5ef80813e7d,23e7bed4,27925a87379552403a0960c2ec191994610bc05b2d67fb1fbbeeb6086a16091bdc69449bce3426b31a2775f3845ed8cc07d1882f8b3b4e63f437775a2eea5d76,0000D111,149
76,America/Atka,True,America/Adak,969,1df7e605c33529940c76c1c145c52fc5,34a42cae,27af4d1bb570244667132cf8981f62f245b2228518324ecc67867eb15c8440446ddd6f2a221cbb2aeb15adfd955dab01bd708ac2c2723a113aa30839ff6632c6,0000A100,969
77,America/Bahia,False,,682,1c750fa694668ef0a1aad95b61533b2a,c76a4b4f,cc9a673e47922097130f83379097da3ac617818180a30da816219a07595c41a0624952051fa296f7f1733d32f38018446e7d37762caf654e1d0edd30f6c2d692,0000D1A6,682
78,America/Bahia_Banderas,False,,700,31013b7bcf8602aa4d90c58980b876f6,1b88869e,661ec74f044700dada62f4a6972aff2285f4b92e65d7a1c807aece0c47f8a28d0e6647b55940c4e22470e9f2a8cf6de03134f509448b62a06c094cf92842e9c8,0000D450,700
79,America/Barbados,False,,278,c779f9c0f9698e7646946312f10dfc4a,bead3d6c,8295be18ea6e2ad6b7981ac5ee746e50e5930fd3466813ed6f8bf415b5ed75154e7c8eb0247e616f5b5cf1c84c316a090b3193b75f40d2d469f5fd7842f321fb,0000D70C,278
80,America/Belem,False,,394,ace635d426a79002a8e3657033da7795,f8b92d85,d440d24626d8119f5f5189b57c291fef475ca5a0e5294572dbc72230f0d99b790d95ca758cc9bd9dec09be1931b1919eaf5eafdd5afb926464512ef1e181bc22,0000D822,394
81,America/Belize,False,,1045,fb4e7ca8ebc94bf7b651ad1921cb62df,eebad889,9cd4344a0e679cf51d40556dd24003e326f7756eb26ef63fcb93d96500b03ea17e33be3cfb9e83122020067ae70fb2b325c1e78e9d2f2bb35a6911eb67f7b494,0000D9AC,1045
82,America/Blanc-Sablon,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
83,America/Boa_Vista,False,,430,30c97d0792df5d5939ff0f09c53c385d,977a44f8,290c0c58168c77d260adfd4d1dac5465bb595b6e30b5d2b6d12ff9c687277a8de19ee7f71c23c1ca6ef712d4523688ddee899b303c55242bd18b235c9330dabd,0000DDC1,430
84,America/Bogota,False,,179,ee4b5e263472bc5adf6309f2f5cd8858,ecec672c,a08457ca2b262392a5bdfcc49fc4141b5bf9c693047161beea8fc6a3b1344b3dbf4ffc75e862b5e804d6fc82e32caf5b7f5d3f1111eb4e5fb6beebb9cfd71b18,0000DF6F,179
85,America/Boise,False,,999,f3ce1cb0fb7595deac1b8caa16cae961,3e1abe2e,0b358a251bc13116fe529b0030f587a8cd8788516645d50f10666698a89c0899661a5697135f043b6e87078e4129cca1984152225c0522e08bb1a2b8c904680f,0000E022,999
86,America/Buenos_Aires,True,America/Argentina/Buenos_Aires,708,a4fc7ef39a80ff8875d1cb2708ebc49e,e5f5bfe0,a59d5f5d3a7652b2db2dc3c54cb3a2e1f37103f03dcc39523d609361c4aaa0219c9fb0db93130588814f81ac1683c66987bf3500a7022a2faceeb694b7f2cd7c,0000AB9B,708
87,America/Cambridge_Bay,False,,883,628a7252c0237ddace06127f3f97d066,94b2ba05,8c985604465713d36f70bab718c87bb9a764cbff2581ad10f6792ed21ad50574c53185579981b688fae09201649b86499983de7a3e16501c5e2e8cc447a597d9,0000E409,883
88,America/Campo_Grande,False,,952,8fa410ffc232e56d0f945bd2b6c34dfe,db6efb1e,9ddee88bd00b2e6da47b1171850eb12ca0f6aa86ae91f15b6fd4b78fd2fd68812c072e4c19e34da00e84058ac6703c9c085f5f5b81a4e8d32accaa5459b54468,0000E77C,952
89,America/Cancun,False,,538,129766f0a8685896ece555334cff53aa,d2637c9d,f9f66008e126f22141c23bcf450704f8e7e7c623680de841298f8f51f0752b4e41bb6a1dbe9b317c99f49b48914b489a3d358f4d552c5c85280b5f492a11eee6,0000EB34,538
90,America/Caracas,False,,190,4d7ff90583dcd0e08fc8c51792761c2b,13ee8eac,002730bca310118bdca4a2a662ac3d3c864edd638154edc124186e300bb48bc3e0785aa2b79dc65caac5faf072743a7ad2dfe6dd1b3bfa94056903c68d01e879,0000ED4E,190
91,America/Catamarca,True,America/Argentina/Catamarca,708,e3467a68822f3d1365e3494970219b03,f6d9c852,4ae79f4a57134ebae1776c259af4236fb75827e4feadf952eafcd33a15f1cae49a68855eb67b1a129dfb2cfe44ade4bba274051c972434517e179fd36e4b6534,0000AE5F,708
92,America/Cayenne,False,,151,806c5856106eb6b28c3846dd93d3acc4,bd0727a1,d6a8e5050334facc73a50477da5f3415129f94a7d91e2169d9556af1123e53debb0bcca5f302bd6c0ee8365ead69bd3d6957ee8231697d8645fc9f3f590b6d2d,0000EE0C,151
93,America/Cayman,True,America/Atikokan,149,595e67b4c97fda031a90e5ef80813e7d,23e7bed4,27925a87379552403a0960c2ec191994610bc05b2d67fb1fbbeeb6086a16091bdc69449bce3426b31a2775f3845ed8cc07d1882f8b3b4e63f437775a2eea5d76,0000D111,149
94,America/Chicago,False,,1754,85435a33486747b319872947c68317f3,3da9dc9b,1c6327903e9a396a278cc15ac97bbcef48b96bdd9e8c6f9948297e9d3eb2aae9692c2714071f6d58c84fbb24d636bf96fd82f1bd424031a53551f8b50f981b2e,0000EEA3,1754
95,America/Chihuahua,False,,691,e488edc3f75089547f08d8a3b40d404a,2722559c,04871e728500b12dbece03297c6887355c850702708216f87c069bc25defc2a32fc659f9584b1b722077811377e6ce4502ecf56bf23b7741c9df7d48ef353b12,0000F57D,691
96,America/Ciudad_Juarez,False,,718,d9940e47c4f3ca38d61567bebca7c909,06d1b0a6,3db27c5fea687fef0a81ed035c0b0065d955cd18a913c0be29fd70e05f3826fc18bfb20db9bd2e8a9ad76bdb3f373b14c962119f9f9e36fa61caa0866530fff1,0000F830,718
97,America/Coral_Harbour,True,America/Atikokan,149,595e67b4c97fda031a90e5ef80813e7d,23e7bed4,27925a87379552403a0960c2ec191994610bc05b2d67fb1fbbeeb6086a16091bdc69449bce3426b31a2775f3845ed8cc07d1882f8b3b4e63f437775a2eea5d76,0000D111,149
98,America/Cordoba,True,America/Argentina/Cordoba,708,5c57dc3d11f5a64fac22a08ea0c64d25,8a52f0ef,18f23ddb3dca6fa3efe9cbea294bdfc6ad9db3bea98fc1766e0f317754d8a452e12edd692b1505810ec7842d0f8dbdcf1f50a4027dbc2621cde865311ff5b259,0000B123,708
99,America/Costa_Rica,False,,232,f32590f9bcdfb4ab134294d441804ae5,7882ddb1,ecb049a9eddb3ea495d15b64764c580214f3bc5191822398d1629914e7cd89ffed38ac37d9273e217c82e35f9264f786ebffb94697ad87ddc773f5cca4cba774,0000FAFE,232
100,America/Coyhaique,False,,1362,18182e9c477ae70b79cd5e610b82a83a,205bafb3,542e5c93b4776189c5e055069e3a83b049bf5c58c4731e2e2ea872850f62bc190ecd1fd4f1d9e9608bb46511403d90a8aaae8ba6d4798b13fd396b4d548d0bca,0000FBE6,1362
101,America/Creston,False,,240,db536e94d95836d7c5725c3b3c086586,9babb8c3,87aa4f9f8b3b01c4bdc96fe971be12b38e16219f58b741c93a52c369146f6a3ae669e2bff2021403f5c1aee1f216c02d1faeb30012454e1de463c467c7f6b374,00010138,240
102,America/Cuiaba,False,,934,268c9a38823e18c714ec9fb756a8042e,a02a247f,0a0a5ad8740798421f75f221cfcf316790cf8569a7c510adc8f4ce7dc50a717d25044af0f7a882aa169cdc194f526510d55074da2b6516f39af4684f1feafe0d,00010228,934
103,America/Curacao,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
104,America/Danmarkshavn,False,,447,356ff8bd249ee3f6983cba8426901244,780dc26b,b63783d13bbba8cff3e8d8477ada6be90e90fe6340845fa33aaa67e7e1a02f1ad3fec6a283f7737717ac4b561f10233a029e1bc2fa059f14b6b1a39aa581a60e,000105CE,447
105,America/Dawson,False,,1029,79eedb7a0a4788b9bc3c291c4c643b50,4af5e6fe,c72bd80cb78559b05c48e343047b729fcd16dacd758e9f4823b63900a5de3b9cec39902a7df45ccc5eb9edd83f7cf6b8d726e5086d06ed11bac36180327c6af8,0001078D,1029
106,America/Dawson_Creek,False,,683,6ece595060d1d2db3153c5d523fb106b,c860102b,d80f8b71d0cc58a75c21a684a778ea259f39702b792dffdf5ac51f11f501bc2c7f678155294faeb5e1079a2e856e48dae3dcbaae1ab2cd782d714c0d71a112ef,00010B92,683
